event_id,event_class,terminal_label,anchor_date,profile,bucket,bucket_start,bucket_end,total_rows,data_insufficient_rows,classified_rows,normal_bull_count,normal_bull_fraction,btc_leadership_maturing_count,btc_leadership_maturing_fraction,late_bull_rotation_count,late_bull_rotation_fraction,exhaustion_watch_count,exhaustion_watch_fraction,de_risk_1_count,de_risk_1_fraction,de_risk_2_count,de_risk_2_fraction,flat_count,flat_fraction,de_risk_1_or_worse_fraction,de_risk_2_or_worse_fraction
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,target_lead,2025-05-08,2025-05-15,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,near_event,2025-05-16,2025-05-22,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,immediate_after,2025-05-23,2025-06-19,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,EARLY,medium_after,2025-06-20,2025-08-20,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,early_warning,2025-04-24,2025-05-07,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,target_lead,2025-05-08,2025-05-15,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,near_event,2025-05-16,2025-05-22,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,immediate_after,2025-05-23,2025-06-19,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,BALANCED,medium_after,2025-06-20,2025-08-20,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,CONSERVATIVE,early_warning,2025-04-24,2025-05-07,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,CONSERVATIVE,target_lead,2025-05-08,2025-05-15,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,CONSERVATIVE,near_event,2025-05-16,2025-05-22,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,CONSERVATIVE,immediate_after,2025-05-23,2025-06-19,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,1
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,CONSERVATIVE,medium_after,2025-06-20,2025-08-20,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,1,1,1
