date,carry_0031_return,rf_daily_return,carry_0031_excess_return,stack_0033_brrk_return,stack_0033_carry_scale,stack_0033_scaled_carry_net,stack_0033_scaled_idle_cash_return,stack_0033_combined_return,stack_0033_brrk_plus_idle_cash_return,stack_0033_incremental_sleeve_excess_return
2023-02-05,-3.0422800769652384e-05,0.0001252054794520548,-0.0001556282802217072,,,,,,,
2023-02-06,0.00013450315104650046,0.00012575342465753425,8.74972638896621e-06,,,,,,,
2023-02-07,3.5415493072903944e-05,0.00012575342465753425,-9.03379315846303e-05,,,,,,,
2023-02-08,9.552140515409292e-05,0.00012575342465753425,-3.0232019503441333e-05,,,,,,,
2023-02-09,0.0002391054821135623,0.00012712328767123287,0.00011198219444232942,,,,,,,
2023-02-10,0.00010141455772358878,0.00012767123287671234,-2.6256675153123567e-05,,,,,,,
2023-02-11,-4.763787946254584e-05,0.00012767123287671234,-0.0001753091123392582,,,,,,,
2023-02-12,-0.00024581163380469636,0.00012767123287671234,-0.0003734828666814087,,,,,,,
2023-02-13,-0.00014424495823524454,0.00012821917808219176,-0.00027246413631743633,,,,,,,
2023-02-14,-3.551384870569081e-05,0.00012794520547945205,-0.00016345905418514286,,,,,,,
2023-02-15,-0.0002211327583693766,0.00012767123287671234,-0.00034880399124608897,,,,,,,
2023-02-16,0.00012609740251524247,0.00012876712328767123,-2.669720772428759e-06,,,,,,,
2023-02-17,5.695694762631717e-05,0.00012876712328767123,-7.181017566135407e-05,,,,,,,
2023-02-18,0.0002712975609815495,0.00012876712328767123,0.00014253043769387827,,,,,,,
2023-02-19,0.00014653330204430066,0.00012876712328767123,1.7766178756629432e-05,,,,,,,
2023-02-20,-0.00020136876342604986,0.00012876712328767123,-0.00033013588671372107,,,,,,,
2023-02-21,0.00039776579882196724,0.00012931506849315068,0.00026845073032881657,,,,,,,
2023-02-22,0.00015869281239473868,0.00012904109589041097,2.9651716504327716e-05,,,,,,,
2023-02-23,5.785252930103264e-05,0.00012904109589041097,-7.118856658937833e-05,,,,,,,
2023-02-24,0.00013621130070487342,0.00012931506849315068,6.896232211722747e-06,,,,,,,
2023-02-25,0.0001015544073086406,0.00012931506849315068,-2.7760661184510075e-05,,,,,,,
2023-02-26,1.2635423336743106e-05,0.00012931506849315068,-0.00011667964515640757,,,,,,,
2023-02-27,5.27537929611635e-06,0.00012986301369863015,-0.0001245876344025138,,,,,,,
2023-02-28,5.430751734352063e-05,0.00012931506849315068,-7.500755114963004e-05,,,,,,,
2023-03-01,6.060078799847903e-05,0.0001295890410958904,-6.898825309741138e-05,,,,,,,
2023-03-02,-6.910211721409629e-05,0.00012986301369863015,-0.00019896513091272644,,,,,,,
2023-03-03,0.00016734233114340264,0.00012986301369863015,3.747931744477249e-05,,,,,,,
2023-03-04,-5.159003807360978e-05,0.00012986301369863015,-0.00018145305177223994,,,,,,,
2023-03-05,6.747529285735139e-05,0.00012986301369863015,-6.238772084127875e-05,,,,,,,
2023-03-06,2.0419689537237507e-06,0.0001304109589041096,-0.00012836898995038584,,,,,,,
2023-03-07,4.874287211263194e-05,0.00013342465753424658,-8.468178542161464e-05,,,,,,,
2023-03-08,-8.764040697883667e-05,0.00013397260273972602,-0.00022161300971856269,,,,,,,
2023-03-09,8.515309044305699e-05,0.00013342465753424658,-4.8271567091189585e-05,,,,,,,
2023-03-10,2.044871720596029e-05,0.0001323287671232877,-0.0001118800499173274,,,,,,,
2023-03-11,-0.0002947598294610831,0.0001323287671232877,-0.0004270885965843708,,,,,,,
2023-03-12,-5.4644926488073754e-05,0.0001323287671232877,-0.00018697369361136143,,,,,,,
2023-03-13,-0.00021648671345902553,0.00012876712328767123,-0.0003452538367466968,,,,,,,
2023-03-14,-3.20174107586811e-05,0.00012904109589041097,-0.00016105850664909207,,,,,,,
2023-03-15,0.0003198156255799325,0.00012575342465753425,0.00019406220092239827,,,,,,,
2023-03-16,0.00029074000648473684,0.0001252054794520548,0.00016553452703268204,,,,,,,
2023-03-17,-0.00048290909145221446,0.00011945205479452055,-0.000602361146246735,,,,,,,
2023-03-18,-0.00033399372630758866,0.00011945205479452055,-0.00045344578110210923,,,,,,,
2023-03-19,-9.624178069210821e-05,0.00011945205479452055,-0.00021569383548662876,,,,,,,
2023-03-20,-0.00021399082386718213,0.0001273972602739726,-0.00034138808414115474,,,,,,,
2023-03-21,-0.0005857621752643822,0.00012657534246575343,-0.0007123375177301356,,,,,,,
2023-03-22,-8.595339472921476e-05,0.00012684931506849316,-0.00021280270979770791,,,,,,,
2023-03-23,3.543421363013055e-05,0.0001252054794520548,-8.977126582192425e-05,,,,,,,
2023-03-24,8.202784084134556e-05,0.0001252054794520548,-4.3177638610709246e-05,,,,,,,
2023-03-25,-1.9405597637217443e-05,0.0001252054794520548,-0.00014461107708927225,,,,,,,
2023-03-26,-2.2576347047837268e-05,0.0001252054794520548,-0.00014778182649989206,,,,,,,
2023-03-27,-4.141402577069313e-05,0.00013013698630136986,-0.00017155101207206298,,,,,,,
2023-03-28,-0.0002957256333064272,0.00012712328767123287,-0.0004228489209776601,,,,,,,
2023-03-29,0.00020123289054081603,0.00012712328767123287,7.410960286958316e-05,,,,,,,
2023-03-30,3.324720793834154e-06,0.0001315068493150685,-0.00012818212852123436,,,,,,,
2023-03-31,-0.0002397931381677597,0.00012821917808219176,-0.0003680123162499515,,,,,,,
2023-04-01,9.754944741964487e-05,0.00012821917808219176,-3.066973066254689e-05,,,,,,,
2023-04-02,-3.2146174193509016e-05,0.00012821917808219176,-0.00016036535227570078,,,,,,,
2023-04-03,-4.591731734574167e-05,0.0001306849315068493,-0.00017660224885259097,,,,,,,
2023-04-04,-5.480975768041841e-05,0.00012986301369863015,-0.00018467277137904856,,,,,,,
2023-04-05,0.0001386739561523899,0.00012931506849315068,9.358887659239218e-06,,,,,,,
2023-04-06,1.2700619874728834e-05,0.0001306849315068493,-0.00011798431163212046,,,,,,,
2023-04-07,-9.016184406177732e-05,0.00013178082191780822,-0.00022194266597958554,,,,,,,
2023-04-08,9.959266441660751e-05,0.00013178082191780822,-3.2188157501200705e-05,,,,,,,
2023-04-09,1.9242216726987725e-05,0.00013178082191780822,-0.0001125386051908205,,,,,,,
2023-04-10,-9.416762177617435e-05,0.00013534246575342467,-0.000229510087529599,,,,,,,
2023-04-11,-5.304407839727392e-05,0.00013397260273972602,-0.00018701668113699994,,,,,,,
2023-04-12,0.00014334005627042784,0.00013342465753424658,9.915398736181269e-06,,,,,,,
2023-04-13,7.479100787560194e-05,0.00013561643835616438,-6.082543048056244e-05,,,,,,,
2023-04-14,4.69518013842104e-05,0.00013643835616438356,-8.948655478017317e-05,,,,,,,
2023-04-15,-5.550600631636474e-05,0.00013643835616438356,-0.00019194436248074832,,,,,,,
2023-04-16,0.0004311652628917999,0.00013643835616438356,0.0002947269067274164,,,,,,,
2023-04-17,8.455404016483683e-05,0.00013863013698630136,-5.407609682146453e-05,,,,,,,
2023-04-18,9.886501116785701e-05,0.00013808219178082192,-3.9217180612964906e-05,,,,,,,
2023-04-19,0.0001808742879443801,0.00013726027397260274,4.3614013971777355e-05,,,,,,,
2023-04-20,0.0001858470051852099,0.00013616438356164382,4.9682621623566074e-05,,,,,,,
2023-04-21,-2.361643602618563e-05,0.00013643835616438356,-0.0001600547921905692,,,,,,,
2023-04-22,-0.00012212446606163193,0.00013643835616438356,-0.0002585628222260155,,,,,,,
2023-04-23,-6.128493935832914e-05,0.00013643835616438356,-0.0001977232955227127,,,,,,,
2023-04-24,-0.0001981371942687945,0.00013808219178082192,-0.00033621938604961644,,,,,,,
2023-04-25,-0.00033551528106355415,0.00013616438356164382,-0.000471679664625198,,,,,,,
2023-04-26,-5.197311258177713e-05,0.00013698630136986303,-0.00018895941395164016,,,,,,,
2023-04-27,-0.00028553043599944346,0.0001378082191780822,-0.00042333865517752567,,,,,,,
2023-04-28,-0.0002534841325379942,0.00013561643835616438,-0.0003891005708941586,,,,,,,
2023-04-29,8.452998751573099e-05,0.00013561643835616438,-5.108645084043339e-05,,,,,,,
2023-04-30,9.345966580150857e-05,0.00013561643835616438,-4.215677255465581e-05,,,,,,,
2023-05-01,-0.0004245711677410553,0.00013972602739726025,-0.0005642971951383155,,,,,,,
2023-05-02,-0.0004658102241318865,0.0001391780821917808,-0.0006049883063236673,,,,,,,
2023-05-03,2.8187940494387616e-05,0.00013945205479452054,-0.00011126411430013293,,,,,,,
2023-05-04,0.00012918128276438384,0.00013972602739726025,-1.0544744632876409e-05,,,,,,,
2023-05-05,6.369623863705434e-05,0.00013972602739726025,-7.602978876020591e-05,,,,,,,
2023-05-06,-1.4757938893500113e-05,0.00013972602739726025,-0.00015448396629076037,,,,,,,
2023-05-07,-3.458801883391804e-05,0.00013972602739726025,-0.0001743140462311783,,,,,,,
2023-05-08,-1.7203147282809342e-05,0.0001410958904109589,-0.00015829903769376826,,,,,,,
2023-05-09,-0.00010108077827957563,0.00014054794520547946,-0.0002416287234850551,,,,,,,
2023-05-10,-5.883330568507404e-05,0.0001391780821917808,-0.00019801138787685485,,,,,,,
2023-05-11,-3.832649132286826e-05,0.00013808219178082192,-0.00017640868310369017,,,,,,,
2023-05-12,-6.562725021803173e-05,0.0001391780821917808,-0.00020480533240981253,,,,,,,
2023-05-13,2.002864028110169e-05,0.0001391780821917808,-0.00011914944191067912,,,,,,,
2023-05-14,0.00013726261643375007,0.0001391780821917808,-1.915465758030733e-06,,,,,,,
2023-05-15,-2.1008100905720716e-05,0.00013863013698630136,-0.00015963823789202209,,,,,,,
2023-05-16,-0.00010098367994323199,0.0001389041095890411,-0.0002398877895322731,,,,,,,
2023-05-17,8.179145041416448e-05,0.00013972602739726025,-5.793457698309577e-05,,,,,,,
2023-05-18,0.00010856304504926065,0.00014082191780821917,-3.2258872758958516e-05,,,,,,,
2023-05-19,0.00016231931404867285,0.00014027397260273972,2.204534144593313e-05,,,,,,,
2023-05-20,-9.722520533610227e-05,0.00014027397260273972,-0.000237499177938842,,,,,,,
2023-05-21,0.00011088729748175727,0.00014027397260273972,-2.9386675120982454e-05,,,,,,,
2023-05-22,3.6284458116404946e-05,0.00014356164383561644,-0.00010727718571921149,,,,,,,
2023-05-23,1.1237665904814342e-05,0.00014191780821917808,-0.00013068014231436373,,,,,,,
2023-05-24,0.00022553418326457566,0.00014273972602739726,8.27944572371784e-05,,,,,,,
2023-05-25,-7.513989620062361e-05,0.00014273972602739726,-0.00021787962222802088,,,,,,,
2023-05-26,0.00013614313786319417,0.00014136986301369864,-5.22672515050447e-06,,,,,,,
2023-05-27,7.243494257030351e-05,0.00014136986301369864,-6.893492044339513e-05,,,,,,,
2023-05-28,-6.374080754723233e-05,0.00014136986301369864,-0.00020511067056093097,,,,,,,
2023-05-29,0.0001595543695613427,0.00014136986301369864,1.8184506547644054e-05,,,,,,,
2023-05-30,0.00024086391074714522,0.00014465753424657533,9.620637650056989e-05,,,,,,,
2023-05-31,-3.7693064334824516e-05,0.0001441095890410959,-0.0001818026533759204,,,,,,,
2023-06-01,0.00019239277772808652,0.00014356164383561644,4.8831133892470076e-05,,,,,,,
2023-06-02,0.00014679128982348188,0.00014328767123287673,3.503618590605141e-06,,,,,,,
2023-06-03,6.916018984575336e-05,0.00014328767123287673,-7.412748138712338e-05,,,,,,,
2023-06-04,0.00015477842002336646,0.00014328767123287673,1.1490748790489723e-05,,,,,,,
2023-06-05,-1.0669015111453927e-05,0.00014246575342465755,-0.0001531347685361115,,,,,,,
2023-06-06,7.300811120602165e-05,0.00014191780821917808,-6.890969701315643e-05,,,,,,,
2023-06-07,0.0001430428698518743,0.00014136986301369864,1.6730068381756648e-06,,,,,,,
2023-06-08,1.3922958235960432e-05,0.00014027397260273972,-0.0001263510143667793,,,,,,,
2023-06-09,-2.650319382102226e-05,0.00014000000000000001,-0.00016650319382102228,,,,,,,
2023-06-10,-0.00016911362408205205,0.00014000000000000001,-0.00030911362408205206,,,,,,,
2023-06-11,8.132447995523058e-05,0.00014000000000000001,-5.867552004476943e-05,,,,,,,
2023-06-12,-0.00010863857860741636,0.00014082191780821917,-0.00024946049641563555,,,,,,,
2023-06-13,0.00011320143040256855,0.00014000000000000001,-2.679856959743146e-05,,,,,,,
2023-06-14,-0.0003139354175741154,0.00013972602739726025,-0.00045366144497137567,,,,,,,
2023-06-15,-2.817149017279085e-05,0.0001389041095890411,-0.00016707559976183195,,,,,,,
2023-06-16,-3.751341569334811e-05,0.00013945205479452054,-0.00017696547048786865,,,,,,,
2023-06-17,-8.640044217026618e-05,0.00013945205479452054,-0.00022585249696478672,,,,,,,
2023-06-18,9.451467048322346e-05,0.00013945205479452054,-4.493738431129708e-05,,,,,,,
2023-06-19,-0.00017904557901004528,0.00013945205479452054,-0.00031849763380456585,0.019147562233142068,6.698360000001458e-05,-4.548491744618717e-08,9.341000657536279e-09,0.01914751674822462,0.019147571574142725,-5.4825918103723444e-08
2023-06-20,-5.958115139477489e-05,0.00014082191780821917,-0.00020040306920299407,0.05451955290672372,6.698360000001458e-05,-3.990960012567911e-09,9.432759013700682e-09,0.05451954891576371,0.054519562339482734,-1.3423719026268594e-08
2023-06-21,-2.3872736107765648e-05,0.0001410958904109589,-0.00016496862651872455,0.059551634442750245,6.698360000001458e-05,-1.599081806348479e-09,9.451110684933564e-09,0.05955163284366844,0.05955164389386093,-1.1050192491282042e-08
2023-06-22,7.01336552077877e-05,0.0001410958904109589,-7.09622352031712e-05,-0.0036328299128071118,6.698360000001458e-05,4.69780470697739e-09,9.451110684933564e-09,-0.003632825215002405,-0.003632820461696427,-4.753305977956174e-09
2023-06-23,4.0368834328102595e-05,0.0001410958904109589,-0.00010072705608285631,0.0268873456341987,6.698360000001458e-05,2.7040498511004814e-09,9.451110684933564e-09,0.026887348338248553,0.026887355085309386,-6.747060833833082e-09
2023-06-24,0.00020672876527239134,0.0001410958904109589,6.563287486143244e-05,-0.0052481943055529,6.698360000001458e-05,1.3847436921502767e-08,9.451110684933564e-09,-0.005248180458115979,-0.005248184854442215,4.396326236569203e-09
2023-06-25,6.004007413600608e-05,0.0001410958904109589,-8.105581627495283e-05,-0.002121556301001082,6.698360000001458e-05,4.021700309897452e-09,9.451110684933564e-09,-0.002121552279300772,-0.002121546849890397,-5.429410375036112e-09
