refit_date,monthly_core_scale,monthly_approved_extra,monthly_total_scale,days,binding_days,binding_fraction,mean_actual_extra,min_actual_extra,mean_reduction,max_reduction
2024-10-29,1.0,0.23852987415769042,1.2385298741576904,30,7,0.23333333333333334,0.22927698295297017,0.16319461123754728,0.009252891204720186,0.07533526292014314
2024-11-28,1.0,0.42282285492351024,1.4228228549235102,30,20,0.6666666666666666,0.4003365013232841,0.3399010181458332,0.02248635360022623,0.08292183677767706
2024-12-28,1.0,0.33626596094676253,1.3362659609467626,30,15,0.5,0.3222695413790827,0.26758656505090034,0.013996419567679835,0.0686793958958622
2025-01-27,1.0,0.33623632151497035,1.3362363215149704,30,26,0.8666666666666667,0.2148670365484202,0.1035612506974426,0.12136928496655013,0.23267507081752775
2025-02-26,0.9999999999999989,0.020097776993654826,1.0200977769936537,30,19,0.6333333333333333,0.007369184897673436,0.0,0.012728592095981392,0.020097776993654826
2025-03-28,0.9999999939549142,0.0,0.9999999939549142,30,0,0.0,0.0,0.0,0.0,0.0
2025-04-27,0.9999999999988988,0.21452879563932914,1.2145287956382278,30,3,0.1,0.21293200210075167,0.1881436507974187,0.00159679353857744,0.02638514484191043
2025-05-27,0.9999999999999979,0.3198654739485351,1.319865473948533,30,27,0.9,0.2593645000164678,0.15587107564035996,0.06050097393206726,0.16399439830817514
2025-06-26,0.9999999999997686,0.311731726381627,1.3117317263813957,30,13,0.43333333333333335,0.30260231709870744,0.22320409161273685,0.00912940928291959,0.08852763476889014
2025-07-26,1.0,0.2930226507617169,1.2930226507617169,30,24,0.8,0.24530256626175007,0.17311253706220273,0.047720084499966856,0.11991011369951418
2025-08-25,0.9999854137930242,0.0,0.9999854137930242,30,0,0.0,0.0,0.0,0.0,0.0
2025-09-24,0.9999999991207419,0.0,0.9999999991207419,30,0,0.0,0.0,0.0,0.0,0.0
2025-10-24,0.9881751992198083,0.0,0.9881751992198083,30,0,0.0,0.0,0.0,0.0,0.0
2025-11-23,0.00034315284346786434,0.0,0.00034315284346786434,30,0,0.0,0.0,0.0,0.0,0.0
2025-12-23,0.0002923518301051198,0.0,0.0002923518301051198,30,0,0.0,0.0,0.0,0.0,0.0
2026-01-22,0.0003939387860457666,0.0,0.0003939387860457666,30,0,0.0,0.0,0.0,0.0,0.0
2026-02-21,1.0204821709880463e-07,0.0,1.0204821709880463e-07,30,0,0.0,0.0,0.0,0.0,0.0
2026-03-23,0.9746533789810287,0.0,0.9746533789810287,30,0,0.0,0.0,0.0,0.0,0.0
2026-04-22,1.0,0.0,1.0,30,0,0.0,0.0,0.0,0.0,0.0
2026-05-22,0.9999986316250786,0.0,0.9999986316250786,30,0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.00022710067266751288,0.0,0.00022710067266751288,30,0,0.0,0.0,0.0,0.0,0.0
2026-07-21,0.009600519865598178,0.0,0.009600519865598178,13,0,0.0,0.0,0.0,0.0,0.0
