date,refit_date,monthly_core_scale,monthly_approved_extra,daily_implied_extra,daily_actual_extra,daily_cap_binding,daily_reduction_vs_monthly,daily_total_scale,daily_btc_trend,daily_p_bad,daily_downside_semivol30,daily_downside_scaler
2023-01-26,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3774827382080697,0.7845905104346076,0.09754616213070376,1.0
2023-01-27,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.40268088051627693,0.7845791075200826,0.09166197331594354,1.0
2023-01-28,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.39505308187178595,0.7845904895008208,0.09199349589487121,1.0
2023-01-29,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.4463035997170891,0.7845898592454559,0.09183165340339805,1.0
2023-01-30,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3990002740376163,0.7845905775240036,0.1645783085298297,1.0
2023-01-31,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3923658047244454,0.7845905783623743,0.16457830852982966,1.0
2023-02-01,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3778493887867451,0.7845905776815718,0.16457830852982966,1.0
2023-02-02,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.36467063204667655,0.784590577635987,0.16847083819470712,1.0
2023-02-03,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3681522620203229,0.7845905681584435,0.16868415737528836,1.0
2023-02-04,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3791326106886647,0.7845905668746463,0.16936745406774395,1.0
2023-02-05,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.3552449553394344,0.7845899073306295,0.17948425696914985,1.0
2023-02-06,2023-01-08,0.999999999893296,0.0,0.0,0.0,False,0.0,0.999999999893296,0.347430694232409,0.7845901722976476,0.18135365219843005,1.0
2023-02-07,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.4549193997523553,0.46440326831776924,0.18135365219843005,1.0
2023-02-08,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5215014429933212,0.4645581723067706,0.1861295640081679,1.0
2023-02-09,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.273695724813564,0.471629571862596,0.2602353237711986,1.0
2023-02-10,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.217173325711526,0.48055743937570067,0.2616841846322697,1.0
2023-02-11,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.32125264186688507,0.5250267925566549,0.2616841846322697,1.0
2023-02-12,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.29879421027073816,0.7256063899822899,0.26198872570791504,1.0
2023-02-13,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.3655404743918251,0.8110682531569805,0.26199320916571484,1.0
2023-02-14,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.3487306605547673,0.8199315989691424,0.2616235016858423,1.0
2023-02-15,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5976340391968122,0.8174837233646054,0.2616235016858423,1.0
2023-02-16,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5140271739682608,0.8148799488039215,0.2867115790653923,1.0
2023-02-17,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.6364000592368139,0.7946945000442688,0.27637051570876486,1.0
2023-02-18,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5778812241118771,0.7999583590869033,0.27637051570876486,1.0
2023-02-19,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5805071625290128,0.48472883811023015,0.2811063894445222,1.0
2023-02-20,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.600234376312258,0.4646965374419039,0.2811063894445222,1.0
2023-02-21,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5598859211209796,0.4653277452284958,0.2862396818961558,1.0
2023-02-22,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5292167444704501,0.48435934645966244,0.2888469597529268,1.0
2023-02-23,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.49546444266379563,0.5466335848380176,0.2877104715995606,1.0
2023-02-24,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.4362994929802738,0.7167079096267425,0.30865506655589553,1.0
2023-02-25,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.44790025012117846,0.8103265925087773,0.3085865811461257,1.0
2023-02-26,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5127476678436784,0.8184699152402697,0.3085865811461257,1.0
2023-02-27,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.49112411321218047,0.8224889446515654,0.308628248196119,1.0
2023-02-28,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.4682558506615643,0.822795370316358,0.31305115797034244,1.0
2023-03-01,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5503299940308753,0.7926763908234775,0.2813547408812817,1.0
2023-03-02,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.5544884587922887,0.7597516927253283,0.28239716053091235,1.0
2023-03-03,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.3955895391634504,0.7974169775108125,0.329197292756372,1.0
2023-03-04,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.32585791522898694,0.8185608214687073,0.327224577764268,1.0
2023-03-05,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.3290237503161634,0.8224951780366254,0.3271146628716291,1.0
2023-03-06,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.3229359347288419,0.822950774976232,0.32675408363372505,1.0
2023-03-07,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.2168583540164576,0.8228848406032554,0.32301486547754726,1.0
2023-03-08,2023-02-07,0.999999924474696,0.0,0.0,0.0,False,0.0,0.999999924474696,0.30423324837451676,0.816836033711335,0.33134139476114927,1.0
2023-03-09,2023-03-09,0.9999999999998558,0.09392675904297297,0.09392675904297297,0.09392675904297297,False,0.0,1.0939267590428288,0.27655414900949415,0.3207351299600394,0.3992965315400979,1.0
2023-03-10,2023-03-09,0.9999999999998558,0.09392675904297297,0.054035774506624584,0.054035774506624584,True,0.03989098453634839,1.0540357745064803,0.1591007481468905,0.32073512996009546,0.39875985938018815,1.0
2023-03-11,2023-03-09,0.9999999999998558,0.09392675904297297,0.06813171702111145,0.06813171702111145,True,0.025795042021861517,1.0681317170209672,0.20060427095934827,0.32073512996223197,0.3548678857159063,1.0
2023-03-12,2023-03-09,0.9999999999998558,0.09392675904297297,0.11495389727526477,0.09392675904297297,False,0.0,1.0939267590428288,0.33846560405358117,0.320735129959812,0.35380083036098464,1.0
2023-03-13,2023-03-09,0.9999999999998558,0.09392675904297297,0.1810197411210174,0.09392675904297297,False,0.0,1.0939267590428288,0.5329872016208075,0.3207351299598241,0.35380083036098464,1.0
2023-03-14,2023-03-09,0.9999999999998558,0.09392675904297297,0.19627882220884071,0.09392675904297297,False,0.0,1.0939267590428288,0.5779154225868881,0.32073512995984904,0.35357537761094304,1.0
2023-03-15,2023-03-09,0.9999999999998558,0.09392675904297297,0.15990085014747044,0.09392675904297297,False,0.0,1.0939267590428288,0.47080559351762197,0.3207351299598125,0.3577977511564016,1.0
2023-03-16,2023-03-09,0.9999999999998558,0.09392675904297297,0.18582163936608023,0.09392675904297297,False,0.0,1.0939267590428288,0.5471257165267989,0.32073512995992226,0.3577977511564016,1.0
2023-03-17,2023-03-09,0.9999999999998558,0.09392675904297297,0.23481074040608138,0.09392675904297297,False,0.0,1.0939267590428288,0.6913672435089642,0.3207351299598074,0.3577977511564016,1.0
2023-03-18,2023-03-09,0.9999999999998558,0.09392675904297297,0.22314539175701922,0.09392675904297297,False,0.0,1.0939267590428288,0.6570202629316446,0.3207351299598048,0.34368164757073916,1.0
2023-03-19,2023-03-09,0.9999999999998558,0.09392675904297297,0.2490302728878807,0.09392675904297297,False,0.0,1.0939267590428288,0.7332346596200228,0.32073512995980485,0.34368164757073916,1.0
2023-03-20,2023-03-09,0.9999999999998558,0.09392675904297297,0.24757143849694996,0.09392675904297297,False,0.0,1.0939267590428288,0.7289393266644305,0.3207351299598074,0.34517293853141506,1.0
2023-03-21,2023-03-09,0.9999999999998558,0.09392675904297297,0.24240385732996295,0.09392675904297297,False,0.0,1.0939267590428288,0.7137241097589083,0.320735129959823,0.34132714111392504,1.0
