date,btc_log_return_20d,btc_log_return_40d,btc_log_slope_20d_ann,btc_log_slope_40d_ann,btc_kama_gap,btc_kama_slope_10d,btc_distance_from_90d_high,btc_consolidation_duration_5pct,btc_rv20_ann,btc_rv20_to_rv60,btc_daily_rsi14,btc_daily_rsi28,btc_4h_rsi14,btc_4h_rsi28,btc_price_rsi_rank_divergence_20d,btc_rsi14_extreme_persistence_14d,btc_rsi14_failure_from_14d_max,eth_btc_log_return_20d,sol_btc_log_return_20d,bnb_btc_log_return_20d,eth_btc_log_return_40d,sol_btc_log_return_40d,bnb_btc_log_return_40d,brkk_return_dispersion_20d,alt_outperformance_breadth_20d,canonical5_outperformance_breadth_20d,high_beta_participation_20d,breadth_acceleration_10d,breadth_contraction_from_10d_max
2021-09-15,0.0269070354154,0.116328012071,-1.29485369428,0.39634064445,0.0187389542598,0.00227214203306,-0.0862543412091,0,0.699935748059,1.05084000421,53.6597792551,54.6361033574,61.4265865892,52.5435848074,0.1,0,14.9069197656,0.128577479477,0.724254661547,-0.129923047394,0.10655959104,1.27432117937,0.114525453349,0.326843843384,0.666666666667,0.75,0.5,0.15,0.25
2021-09-16,-0.0275218563401,0.0686059815139,-1.17135673304,0.326173181774,0.00982780836899,-0.0101644978438,-0.0935380782661,0,0.670599085306,1.00524767967,52.4147761742,54.0042035719,66.8631429251,56.478493007,0.1,0,16.1519228464,0.11367699105,0.576198938283,-0.125584542514,0.0527235037539,1.28166506269,0.106398549646,0.265091003139,0.666666666667,0.5,0.5,-0.05,0.25
2021-09-17,-0.0331724272699,0.077004602357,-1.10133573667,0.214277862009,0.000560923511541,-0.00971529965674,-0.101851932728,0,0.671387166452,1.01423885521,50.9613424077,53.2748582224,57.190271452,53.5254626554,0.1,0,17.605356613,0.0799368841956,0.460905592629,-0.145617733418,0.0441604374499,1.28903284503,0.0966287854591,0.224152707773,0.666666666667,0.5,0.5,-0.025,0.25
2021-09-18,-0.00978963536396,0.0431462640318,-0.919849539134,0.201538317527,0.0205694684913,-0.007622349851,-0.0830010690435,0,0.678146749523,1.03627803151,54.0711974858,54.7130019399,51.2154686237,51.0891515034,0,0,14.4955015349,0.0735344419341,0.595250676642,-0.145508252182,0.0403203905865,1.43361010267,0.104516297316,0.279485538052,0.666666666667,0.5,0.5,-0.025,0.25
2021-09-19,0.00549411695616,0.0356995398538,-1.06261168418,0.136026720395,-0.00161892932717,-0.00741677420969,-0.102957623723,0,0.665235262246,1.04630710647,50.4254204677,52.9246291051,59.0186725844,55.2451031194,0.1,0,18.1412785529,0.0246930108138,0.320623431074,-0.124635885396,0.022106941183,1.28841571923,0.0583583651474,0.163377061014,0.666666666667,0.5,0.5,-0.025,0.25
2021-09-20,-0.0907285912638,-0.0563907494338,-1.68259090027,-0.0593535071442,-0.0889998441153,-0.00802480671859,-0.183204813924,0,0.77669483749,1.13870222433,39.0295681395,46.5761506644,45.8276581868,49.2500768317,0,0,15.0416293462,-0.0505882745307,0.294718791849,-0.151511865313,-0.00332936146847,1.21640420975,-0.0147859483468,0.166004240491,0.333333333333,0.25,0.5,-0.25,0.5
2021-09-21,-0.180873410077,-0.0861444933417,-2.33142314995,-0.358364397003,-0.129904798749,-0.0136954353931,-0.226521772979,0,0.782533194683,1.13185891492,34.497488136,43.6454390497,22.1957240087,33.5828739559,0,0,19.5737093498,-0.143794681731,0.296576784963,-0.170502968378,-0.0103055497696,1.19270525598,-0.0270078863961,0.185490872305,0.333333333333,0.25,0.5,-0.225,0.5
2021-09-22,-0.123078177307,-0.0932626748635,-2.48197074147,-0.458803804969,-0.0683269221152,-0.0140304741866,-0.173179160677,0,0.844483790902,1.19276906614,43.2384473091,47.8370612329,18.8947700405,29.0266773672,-0.05,0,10.8327501766,-0.0842552341168,0.266600050605,-0.12085049744,0.0165284374499,1.28773251647,0.0127897776158,0.151520614415,0.333333333333,0.25,0.5,-0.2,0.5
2021-09-23,-0.108342029384,-0.0479404240336,-2.32165642318,-0.534577363232,-0.0398746263112,-0.00992930111725,-0.148083222093,0,0.853923912242,1.20705174945,46.83309524,49.6637207325,45.6473397668,43.4444186251,-0.15,0,7.23810224574,-0.114163094547,0.132034541881,-0.133657821292,0.0134401618508,1.27060913723,-0.0156279395607,0.106041412312,0.333333333333,0.25,0.5,-0.175,0.5
2021-09-24,-0.153549345789,-0.0928053905252,-2.35594801435,-0.672495246956,-0.0800840280143,-0.0139244695518,-0.187098372889,0,0.871766990731,1.23076993178,42.3435356276,47.0096836201,54.9978167583,49.136892668,-0.05,0,11.7276618581,-0.12920688656,0.155347842731,-0.1843303506,-0.0287626674551,1.04795321303,-0.0610635594791,0.130909395003,0.333333333333,0.25,0.5,-0.15,0.5
2021-09-25,-0.193046274253,-0.0729821253311,-2.11427308473,-0.840854616747,-0.0773521146376,-0.0209210017005,-0.189755411202,0,0.849604779514,1.22325267196,42.0479083608,46.8329261301,44.6158002446,43.9675499313,-0.05,0,12.0232891249,-0.108566813091,0.150315181569,-0.174326393193,-0.00114222641654,0.85868567398,-0.100240187608,0.122858521193,0.333333333333,0.25,0.5,-0.1,0.25
2021-09-26,-0.19899521852,-0.034947900674,-1.60695053652,-1.02631787313,-0.0631826104895,-0.0254137229665,-0.180446187996,0,0.846343400341,1.21904433974,43.5353312648,47.5494821872,44.5955235482,43.8938969919,-0.1,0,10.5358662209,-0.0506129740643,0.00779254349639,-0.167140643414,0.0506455689596,0.784149104011,-0.120364894333,0.0698882651303,0.333333333333,0.25,0.5,-0.075,0.25
2021-09-27,-0.106072216945,-0.0589200273648,-1.78679395881,-1.24082709978,-0.0801295493169,-0.0307714772567,-0.199691819254,0,0.702004141972,1.00717581074,41.1820352685,46.2141319233,50.2751921112,47.0718817792,-0.05,0,12.8891622173,-0.0543233491977,-0.134649699019,-0.115460499668,0.0289656318014,0.688312822524,-0.107250943635,0.0530159137151,0,0,0,-0.275,0.5
2021-09-28,-0.11547188843,-0.130822221354,-2.1501165585,-1.42419083482,-0.0943034304831,-0.0427113843355,-0.220974139781,0,0.706290357656,1.02702354894,38.6913433393,44.7722187548,42.106364562,43.7833982126,0,0,15.3798541465,-0.105633872057,-0.252590318759,-0.10466414182,0.00401771853796,0.727916821371,-0.127769632748,0.0899285334541,0,0,0,-0.225,0.5
2021-09-29,-0.110916395971,-0.172101441749,-2.34393532163,-1.50761360341,-0.0772755766305,-0.0489563372629,-0.211522883797,0,0.708201014112,1.03086757413,40.4148211033,45.5545500672,37.3608901987,41.0956322298,-0.05,0,13.6563763825,-0.0726877610252,-0.217868592722,-0.0251613847072,0.0302664623871,0.714307735839,-0.0407747309058,0.0843562490043,0,0,0,-0.175,0.25
2021-09-30,-0.0231599837812,-0.107994473832,-2.39088377794,-1.52158832749,-0.0259195848526,-0.0471808903048,-0.167853121398,0,0.739364264443,1.06804550866,47.7268594996,49.0152129645,43.3856975471,44.0469861223,-0.2,0,6.34433798611,-0.0439401487645,-0.216191605208,-0.0120826037876,0.0363640651581,0.758002759061,-0.038733332806,0.087020646986,0,0,0,-0.15,0.25
2021-10-01,0.063632038199,-0.0225435844939,-1.89384315889,-1.39074293261,0.0613427841678,-0.0311186379325,-0.085870776756,0,0.843746529939,1.16068734639,58.1177814643,54.629620002,58.4228235886,52.3961480476,-0.05,0,0,-0.0506474492203,-0.166364692067,-0.0239462109657,0.0445087279255,0.820047685557,-0.0399465768412,0.0638368310982,0,0,0,-0.125,0.25
2021-10-02,0.034375744197,-0.0381817058164,-1.37927417081,-1.26538435269,0.0470564288377,-0.0265934042189,-0.0954923581429,0,0.842682237782,1.16316269748,56.6934240376,53.9071332091,75.2943596919,64.1008172393,-0.15,0,1.42435742671,-0.0392197091041,-0.0653159580058,-0.00876372055046,0.0580003910496,0.842201600821,-0.11752644534,0.0258455747627,0,0,0,-0.1,0.25
2021-10-03,0.0700147180194,0.010972842855,-0.959503156193,-1.17411148851,0.0564669040449,-0.0236422224426,-0.0847618577432,0,0.835636640617,1.16160006734,57.9317157246,54.6015347701,66.2998674818,60.7325505061,0,0,0.186065739679,-0.0305113211718,-0.0498686394509,0.00572059379367,0.0640765927934,0.886207522799,-0.102199095572,0.0226773116234,0.333333333333,0.25,0.5,0.15,0
2021-10-04,0.0438828485283,0.0051247456053,-0.196580847401,-1.01774397409,0.0663248865265,-0.00804310761864,-0.0653001391845,0,0.816641566551,1.13731201191,60.1569104095,55.8524813013,65.1251692635,61.0945216422,0,0,0,-0.0579755182925,0.00673990387572,-0.0153298738404,0.0431034602064,0.83735615841,-0.170949254209,0.0251686859052,0.333333333333,0.25,0.5,0.15,0
2021-10-05,0.0673105837934,0.0942176192089,0.897241867634,-0.864528870238,0.0906280445896,0.0204720922044,-0.0226323914484,1,0.833088418553,1.1617404915,64.5803553694,58.4551989547,66.7560900592,62.4594873282,0,0,0,-0.0948849164704,-0.0312533707869,-0.042578386615,0.0336925630068,0.69300129076,-0.172501434009,0.0341925085188,0,0,0,-0.075,0.25
2021-10-06,0.147320163632,0.119798307292,2.28345740682,-0.556436527709,0.126601555753,0.0657050448477,0,2,0.880861003596,1.20403623945,70.5934168794,62.3879856934,76.6158632343,68.2492791611,0,0.0714285714286,0,-0.145385366511,-0.136998671427,-0.122644796237,-0.0317083754613,0.439200266857,-0.248229338751,0.059023719139,0,0,0,-0.05,0.25
2021-10-07,0.128488835571,0.0953164083006,3.38947400304,-0.299001516744,0.0742308191787,0.0927523165683,-0.0276557895688,3,0.891282178334,1.21442940957,65.804377794,60.0416608363,85.5059750131,75.5294384773,0,0.0714285714286,4.78903908533,-0.0747611645968,-0.0842197466949,-0.0529589249526,0.00517571959874,0.376685845934,-0.19857665837,0.0326236940373,0,0,0,-0.05,0.25
2021-10-08,0.110802958575,0.101013323211,4.56076393662,-0.0476395852117,0.055219769441,0.128698302743,-0.0246509988249,4,0.889012634704,1.23032080277,66.0736762323,60.210269781,68.5380890395,67.5803504993,0,0.0714285714286,4.51974064711,-0.074366812151,-0.173979290867,-0.0903178465309,-0.000832370216907,0.421271385775,-0.235826098712,0.0618126445822,0,0,0,-0.05,0.25
2021-10-09,0.151140549775,0.156634666731,5.64003001102,0.168942889988,0.0529281879359,0.159675912579,-0.00660363373407,5,0.881675332433,1.22061901354,67.7180744976,61.2292625028,60.1431073459,63.6538971563,0,0.0714285714286,2.87534238173,-0.0797835282315,-0.124782434708,-0.119108913028,-0.0550905174178,0.195840996366,-0.243744798424,0.0498288175114,0,0,0,-0.05,0.25
2021-10-10,0.239550579872,0.148821988609,6.06858623562,0.371236076724,0.035784681433,0.172935156708,-0.0118593509898,6,0.758945927522,1.05040847561,66.704103273,60.7593406986,63.6812622327,65.1834444387,0,0.0714285714286,3.88931360637,-0.102611649065,-0.134001786391,-0.135316762969,-0.153199923596,0.160717005457,-0.286828628282,0.0552567586255,0,0,0,-0.05,0.25
2021-10-11,0.34421410944,0.163340699364,6.31323510064,0.680389452979,0.0683895152946,0.185923957876,0,7,0.713182686353,0.979242653432,71.1971025547,63.5646349308,55.5163038102,61.1469252065,0,0.142857142857,0,-0.0968547707883,-0.191685378032,-0.162328187591,-0.24064945252,0.104891406931,-0.332831155969,0.073576502818,0,0,0,-0.05,0.25
2021-10-12,0.25153390317,0.128455725863,6.61778466851,0.956139060486,0.034155991842,0.190208356025,-0.0256548697742,8,0.699427559419,0.984053613221,66.1567995096,61.1864612321,69.2530632473,67.6670367748,0.15,0.142857142857,5.04030304509,-0.125143012978,-0.222897731896,-0.092795196792,-0.209398247094,0.0437023187087,-0.213645694232,0.0796414453396,0,0,0,-0.05,0.25
2021-10-13,0.245805449211,0.137463419828,7.08263894835,1.27665977618,0.0487278839249,0.198969379781,-0.00181568729463,9,0.697126148777,0.980146919294,68.3957574827,62.537118032,52.802744163,58.4751536227,0.05,0.142857142857,2.80134507199,-0.11100840267,-0.258358055718,-0.0407116946324,-0.225171497217,-0.126323513837,-0.174369515924,0.0983465423913,0,0,0,-0.025,0.25
