side,target_notional,filled_notional,unfilled_notional,fill_fraction,base_filled,vwap,reference_mid,slippage_bps,levels_used,fully_fillable_in_returned_book,target,market_type,api_coin,classification
buy,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,1348.930306999204,74.132814335277,74.130500000000,0.312197445971,6,True,SOL,perp,SOL,
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,13.489815189532,74.130000000000,74.130500000000,0.067448621013,1,True,SOL,perp,SOL,
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,134.906250252951,74.125550011581,74.130500000000,0.667739785770,2,True,SOL,perp,SOL,
sell,50000.000000000000,49999.999999999993,0.000000000007,1.000000000000,674.571507326156,74.121126458762,74.130500000000,1.264464860957,6,True,SOL,perp,SOL,
sell,100000.000000000000,99999.999999999985,0.000000000015,1.000000000000,1349.195372534204,74.118250059048,74.130500000000,1.652483249459,10,True,SOL,perp,SOL,
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,13.489825252934,74.129944699061,74.123500000000,0.869454229933,2,True,SOL,spot,@156,candidate_wrapped_or_bridged
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,134.893703294035,74.132444701310,74.123500000000,1.206729486620,5,True,SOL,spot,@156,candidate_wrapped_or_bridged
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,674.367773856879,74.143519216580,74.123500000000,2.700792134791,19,True,SOL,spot,@156,candidate_wrapped_or_bridged
buy,100000.000000000000,50265.368577000001,49734.631422999999,0.502653685770,677.946000000000,74.143617009319,74.123500000000,2.713985351384,20,False,SOL,spot,@156,candidate_wrapped_or_bridged
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,13.492131751150,74.117272084506,74.123500000000,0.840207962951,2,True,SOL,spot,@156,candidate_wrapped_or_bridged
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,134.932431981648,74.111166997717,74.123500000000,1.663845107538,8,True,SOL,spot,@156,candidate_wrapped_or_bridged
sell,50000.000000000000,50000.000000000007,0.000000000000,1.000000000000,674.776724734115,74.098584268303,74.123500000000,3.361380897747,14,True,SOL,spot,@156,candidate_wrapped_or_bridged
sell,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,1349.667166585675,74.092341042107,74.123500000000,4.203654427150,19,True,SOL,spot,@156,candidate_wrapped_or_bridged
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,1.684338178572,593.705001003892,593.690000000000,0.252674019969,2,True,BNB,perp,BNB,
buy,10000.000000000000,10000.000000000002,0.000000000000,1.000000000000,16.842394485988,593.739803940569,593.690000000000,0.838887981418,7,True,BNB,perp,BNB,
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,84.204643601704,593.791480627893,593.690000000000,1.709320148451,11,True,BNB,perp,BNB,
buy,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,168.398378807523,593.829944849400,593.690000000000,2.357204086314,16,True,BNB,perp,BNB,
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,1.684409109284,593.680000000000,593.690000000000,0.168438073744,1,True,BNB,perp,BNB,
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,16.844091092845,593.680000000000,593.690000000000,0.168438073744,1,True,BNB,perp,BNB,
sell,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,84.234971559030,593.577691956137,593.690000000000,1.891695057400,13,True,BNB,perp,BNB,
sell,100000.000000000000,92609.811010000005,7390.188989999995,0.926098110100,156.036000000000,593.515669524981,593.690000000000,2.936388940669,20,False,BNB,perp,BNB,
buy,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,926.440615156569,1.079400000000,1.079350000000,0.463241765878,1,True,XRP,perp,XRP,
buy,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,9264.406151565685,1.079400000000,1.079350000000,0.463241765878,1,True,XRP,perp,XRP,
buy,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,46318.229899962957,1.079488575189,1.079350000000,1.283876307676,3,True,XRP,perp,XRP,
buy,100000.000000000000,100000.000000000000,0.000000000000,1.000000000000,92631.679325676188,1.079544284719,1.079350000000,1.800015930566,3,True,XRP,perp,XRP,
sell,1000.000000000000,1000.000000000000,0.000000000000,1.000000000000,926.526452330214,1.079300000000,1.079350000000,0.463241765877,1,True,XRP,perp,XRP,
sell,10000.000000000000,10000.000000000000,0.000000000000,1.000000000000,9265.496386212009,1.079272991232,1.079350000000,0.713473549847,2,True,XRP,perp,XRP,
sell,50000.000000000000,50000.000000000000,0.000000000000,1.000000000000,46329.988602668644,1.079214597457,1.079350000000,1.254482265759,2,True,XRP,perp,XRP,
sell,100000.000000000000,99999.999999999985,0.000000000015,1.000000000000,92663.152256510046,1.079177618771,1.079350000000,1.597083698035,3,True,XRP,perp,XRP,
