date,PRICE_ONLY,BINANCE_ALL_PERP_COMMON,HYPERLIQUID_ALL_PERP_NATIVE,BINANCE_COMMON_COMPOUNDED_SENSITIVITY,HYPERLIQUID_COMMON_COMPOUNDED_SENSITIVITY
2024-06-18,38460.3094935349,34444.7408583945,29992.0994875546,34444.7408583945,29989.7167291045
2024-06-19,38499.5694596370,34475.3176018684,30009.5226473848,34475.3176018684,30007.1374890162
2024-06-20,38116.7879107180,34127.9632358688,29696.8464961819,34127.9632358688,29694.4849737062
2024-06-21,37919.6266989924,33946.9851842532,29537.3050096514,33946.9851842532,29534.9556583316
2024-06-22,37956.3669380656,33974.7473130040,29558.1981705144,33974.7473130040,29555.8467286563
2024-06-23,37213.3806081210,33305.6708531686,28969.3297425918,33305.6708531686,28967.0245302010
2024-06-24,36073.1963449676,32278.8646570278,28080.5507119069,32278.8646570278,28078.3154575841
2024-06-25,36773.9586837261,32899.8058608565,28616.6580016634,32899.8058608565,28614.3796151964
2024-06-26,36422.8426905894,32578.3488648435,28336.6656679833,32578.3488648435,28334.4092795693
2024-06-27,37787.2898744566,33791.1721423154,29387.8615914040,33791.1721423154,29385.5208052973
2024-06-28,36384.4444530266,32529.5900914407,28287.5654918308,32529.5900914407,28285.3118180439
2024-06-29,36599.8036827928,32714.7705420685,28447.1680749496,32714.7705420685,28444.9009058508
2024-06-30,37761.9186811049,33745.9342027581,29341.4719286164,33745.9342027581,29339.1329079657
2024-07-01,37716.4611209926,33698.1123979347,29296.5631972706,33698.1123979347,29294.2272527049
2024-07-02,38084.3560820597,34019.7777676123,29579.3881288011,34019.7777676123,29577.0288591597
2024-07-03,36147.6298234147,32281.3584421194,28069.8764868876,32281.3584421194,28067.6372685067
2024-07-04,34915.0966344038,31174.6445773615,27109.0283050160,31174.6445773615,27106.8656263557
2024-07-05,34787.4636827711,31057.4107897857,27007.7622189637,31057.4107897857,27005.6075483190
2024-07-06,35263.9717920605,31480.3109241350,27378.3312021561,31480.3109241350,27376.1467647814
2024-07-07,34568.0539102653,30854.8520355954,26840.1825866641,30854.8520355954,26838.0409845190
2024-07-08,34824.9022795280,31080.1766960144,27040.3622927597,31080.1766960144,27038.2043200246
2024-07-09,35222.0947503077,31431.4826302871,27344.7947483555,31431.4826302871,27342.6123063564
2024-07-10,35126.8238557997,31342.7129648729,27267.7292716803,31342.7129648729,27265.5528729959
2024-07-11,35013.0579565163,31236.6630144551,27178.1674127503,31236.6630144551,27175.9980944542
2024-07-12,35175.5054008981,31379.5462607966,27302.9094362564,31379.5462607966,27300.7300890678
2024-07-13,35562.5349637944,31720.9396197230,27599.3531144259,31720.9396197230,27597.1499333227
2024-07-14,36104.7357682975,32200.7681660744,28015.3707716022,32200.7681660744,28013.1341721425
2024-07-15,38633.8511556922,34454.6932367934,29966.2542766155,34454.6932367934,29963.8611533791
2024-07-16,38396.0093265739,34239.4479283344,29771.1515184531,34239.4479283344,29768.7730915884
2024-07-17,37826.1473307317,33728.8663572450,29319.7808711415,33728.8663572450,29317.4380472801
2024-07-18,37990.3420937263,33872.3327922631,29437.1109127199,33872.3327922631,29434.7582121862
2024-07-19,39303.1747496167,35038.3006093547,30441.8157813228,35038.3006093547,30439.3818708970
2024-07-20,39649.0370373923,35345.6409152420,30692.5872313528,35345.6409152420,30690.1313221249
2024-07-21,40777.4918953205,36349.4829985619,31538.9836118932,36349.4829985619,31536.4554313089
2024-07-22,39962.2565877285,35616.9623898749,30891.1212172308,35616.9623898749,30888.6434098852
