date,V1_BASELINE__BTC,V1_BASELINE__ETH,V1_BASELINE__SOL,V1_BASELINE__BNB,V1_BASELINE__XRP,V1_PLUS_FIXED_PANEL_DISP0014__BTC,V1_PLUS_FIXED_PANEL_DISP0014__ETH,V1_PLUS_FIXED_PANEL_DISP0014__SOL,V1_PLUS_FIXED_PANEL_DISP0014__BNB,V1_PLUS_FIXED_PANEL_DISP0014__XRP,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__BTC,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__ETH,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__SOL,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__BNB,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015__XRP,BRRK0011_BASELINE__BTC,BRRK0011_BASELINE__ETH,BRRK0011_BASELINE__SOL,BRRK0011_BASELINE__BNB,BRRK0011_BASELINE__XRP,BRRK0011_PLUS_FIXED_PANEL_DISP0014__BTC,BRRK0011_PLUS_FIXED_PANEL_DISP0014__ETH,BRRK0011_PLUS_FIXED_PANEL_DISP0014__SOL,BRRK0011_PLUS_FIXED_PANEL_DISP0014__BNB,BRRK0011_PLUS_FIXED_PANEL_DISP0014__XRP,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__BTC,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__ETH,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__SOL,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__BNB,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015__XRP
2025-01-13,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-14,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-15,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-16,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9615028728,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-17,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8577758109,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8577758109,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-18,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8032902661,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8032902661,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9527595435,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-19,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3699906191,0.0000000000,0.3699906191,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3699906191,0.0000000000,0.3699906191,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-20,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3699906191,0.0000000000,0.3699906191,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3699906191,0.0000000000,0.3699906191,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-21,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-22,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-23,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-24,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-25,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-26,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3323937585,0.0000000000,0.3323937585,0.0000000000,0.0000000000,0.4974637973,0.0000000000,0.4974637973,0.0000000000,0.0000000000
2025-01-27,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-28,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-29,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-30,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-31,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6775414426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9445482463,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-01,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3701143446,0.0000000000,0.3701143446,0.0000000000,0.0000000000,0.4765151950,0.0000000000,0.4765151950,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.3701143446,0.0000000000,0.3701143446,0.0000000000,0.0000000000,0.4765151950,0.0000000000,0.4765151950,0.0000000000,0.0000000000
2025-02-02,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-03,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-04,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7921829513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9124111944,0.0000000000,0.0000000000,0.0000000000,0.0000000000
