date,btc_trend,p_riskoff,p_bad,core_meta_scale,core_scale,full_scale_cvar95,full_scale_cdar95,core_full_permission,trend_candidate_extra,pbad_adjusted_extra,downside_semivol30,downside_scaler,extra_scale,total_scale,hmm_converged,pca_variance
2024-06-01,0.69255865981614,1.0413082007219219e-11,0.0005021495784273705,0.7351267375051975,0.9999999999972419,0.19695411554700662,0.26484616827470153,True,0.34627932990807,0.34610544588853853,0.2284775876949766,1.0,0.34610544588853853,1.3461054458857804,True,0.9063118541262212
2024-07-01,0.24340096773773776,1.3284423355741866e-08,0.2661648852971945,0.8519395962357521,0.9999999980331029,0.18970518673350956,0.2316052872553134,False,0.12170048386886888,0.08930808853929832,0.26664298796848573,1.0,0.0,0.9999999980331029,True,0.9031850165012351
2024-07-31,0.27063131429891213,1.8228124194129707e-05,0.1890215264083478,0.9169894233345985,0.9999984868728992,0.17970188757972227,0.216528772340733,False,0.13531565714945606,0.10973808508811722,0.3116127665308553,1.0,0.0,0.9999984868728992,True,0.9022643569189953
2024-08-30,0.08552219868342392,1.993912197728519e-05,0.0024015670004826238,0.7166530266404152,0.9999943503101363,0.2046138243766507,0.2711413238234321,False,0.04276109934171196,0.04265840569662854,0.4753965859224163,0.9465781062076013,0.0,0.9999943503101363,True,0.9005900141342349
2024-09-29,0.3470219622115063,5.730710106334128e-17,0.0021374424545139003,0.7457560673356056,1.0,0.21256159395976465,0.26148075063097626,True,0.17351098110575314,0.17314011136841334,0.24956729100463587,1.0,0.17314011136841334,1.1731401113684132,True,0.8990775394312428
2024-10-29,0.5947651723043779,1.8600675144068917e-19,0.19790234780048496,0.8531794063746929,1.0,0.19840317811256591,0.2311867346373701,True,0.29738258615218893,0.23852987415769075,0.24381936390649073,1.0,0.23852987415769075,1.2385298741576907,True,0.8990460925556477
2024-11-28,0.8475486658677304,2.2512759081030287e-39,0.0022452469071635927,0.746312540024519,1.0,0.21035505460039927,0.2612910755421732,True,0.4237743329338652,0.4228228549235101,0.2584898929068898,1.0,0.4228228549235101,1.4228228549235102,True,0.8996070556587132
2024-12-28,0.6732238936779691,3.3723381441074446e-37,0.0010278479283668618,0.7614315152168274,1.0,0.19533751168884161,0.2567024479260409,True,0.33661194683898454,0.33626596094676253,0.3213847059242738,1.0,0.33626596094676253,1.3362659609467626,True,0.9012456684144726
2025-01-27,0.6736845463456318,1.299418245724634e-40,0.0017989180875012164,0.7536099441349506,1.0,0.20745475198741017,0.25897311900872044,True,0.3368422731728159,0.3362363215149703,0.2766761997910557,1.0,0.3362363215149703,1.3362363215149702,True,0.9010319950787261
2025-02-26,0.040358528549263806,4.069384269756564e-15,0.00403816907633829,0.7386995926499367,0.9999999999999989,0.2115924943001737,0.26353500999440804,True,0.020179264274631903,0.020097776993654826,0.3573609799649108,1.0,0.020097776993654826,1.0200977769936537,True,0.9011767005797644
2025-03-28,-0.15225758013007587,2.47897968345045e-08,0.011151417821981749,0.756146214902401,0.9999999939549142,0.20990732926685066,0.25790145315422086,False,0.0,0.0,0.4692275567024162,0.9590229592704627,0.0,0.9999999939549142,True,0.897541284749966
