date,btc_trend,p_riskoff,p_bad,core_meta_scale,core_scale,full_scale_cvar95,full_scale_cdar95,safe_total_scale,safe_total_cvar95,safe_total_cdar95,core_full_permission,trend_candidate_extra,pbad_adjusted_extra,risk_extra_capacity,extra_scale,total_scale,hmm_converged,pca_variance
2024-02-02,0.601473720074037,3.355494510209817e-33,0.0024878650500860812,0.691384568810463,1.0,0.21094362919409984,0.2800880015661435,0.6913845702074468,0.14762592665897664,0.19999999995510717,True,0.3007368600370185,0.29998866731365975,0.0,0.0,1.0,True,0.9177460384452156
2024-03-03,0.9675498726038125,2.069101626891596e-39,0.2765084243103859,0.5340089350938797,1.0,0.29507390308538006,0.35012506325025516,0.5340089377714321,0.16410726143861581,0.19999999991049283,True,0.48377493630190627,0.35000709094420884,0.0,0.0,1.0,True,0.9161629639132246
2024-04-02,0.7026862628378514,9.77598741061692e-22,0.0003527622884884109,0.7503719106316566,1.0,0.19868499809439616,0.2601054251110336,0.7503719120286405,0.15083429334962387,0.1999999999886337,True,0.3513431314189257,0.35121919081184166,0.0,0.0,1.0,True,0.9161132296751124
2024-05-02,0.3325935587587632,4.121325538184582e-09,0.0009486584134349968,0.6922565847635269,0.9999999987316892,0.2214047782524974,0.2795445661787749,0.6922565867425874,0.15605715623825495,0.19999999991935027,False,0.1662967793793816,0.1661390205404962,0.0,0.0,0.9999999987316892,True,0.9100467483741238
2024-06-01,0.69255865981614,1.0413082007188922e-11,0.0005021495784274403,0.7351267375051975,0.9999999999972419,0.1969541155470065,0.2648461682747014,0.7351267396006733,0.14644863424224988,0.19999999993846013,True,0.34627932990807,0.34610544588853853,0.0,0.0,0.9999999999972419,True,0.9063118541262212
2024-07-01,0.24340096773773776,1.3284423355741866e-08,0.2661648852971945,0.8519395962357521,0.9999999980331029,0.18970518673350956,0.2316052872553134,0.8519395964685827,0.163017390245876,0.1999999999323004,False,0.12170048386886888,0.08930808853929832,0.0,0.0,0.9999999980331029,True,0.9031850165012351
2024-07-31,0.27063131429891213,1.8228124194113905e-05,0.18902152640834913,0.9169894233345985,0.9999984868728992,0.17970188757972236,0.216528772340733,0.916989424964413,0.16559776553438632,0.1999999999447698,False,0.13531565714945606,0.10973808508811704,0.0,0.0,0.9999984868728992,True,0.9022643569189953
2024-08-30,0.08552219868342392,1.9939121977335377e-05,0.0024015670004843546,0.7166530266404152,0.9999943503101363,0.20461382437665135,0.27114132382343237,0.7166530274553224,0.14851344648024878,0.19999999998119403,False,0.04276109934171196,0.042658405696628474,0.0,0.0,0.9999943503101363,True,0.9005900141342349
2024-09-29,0.3470219622115063,5.730710106340276e-17,0.0021374424545140395,0.7457560673356056,1.0,0.2125615939597655,0.26148075063097687,0.7457560702459887,0.16078439885492457,0.19999999996391055,True,0.17351098110575314,0.1731401113684133,0.0,0.0,1.0,True,0.8990775394312428
2024-10-29,0.5947651723043779,1.8600675144063497e-19,0.1979023478004871,0.8531794063746929,1.0,0.19840317811256608,0.23118673463737027,0.8531794077716768,0.17098009411563828,0.19999999992583722,True,0.29738258615218893,0.2385298741576901,0.0,0.0,1.0,True,0.8990460925556477
2024-11-28,0.8475486658677304,2.2512759081030287e-39,0.0022452469071635927,0.746312540024519,1.0,0.21035505460039927,0.2612910755421732,0.7463125413050875,0.15924037858110318,0.1999999999894632,True,0.4237743329338652,0.4228228549235101,0.0,0.0,1.0,True,0.8996070556587132
2024-12-28,0.6732238936779691,3.3723381441074446e-37,0.0010278479283668618,0.7614315152168274,1.0,0.19533751168884161,0.2567024479260409,0.761431515798904,0.1501247770274075,0.1999999999365009,True,0.33661194683898454,0.33626596094676253,0.0,0.0,1.0,True,0.9012456684144726
2025-01-27,0.6736845463456318,1.2994182457254097e-40,0.0017989180875009599,0.7536099441349506,1.0,0.2074547519874094,0.25897311900872,0.7536099459975958,0.15846042324893272,0.19999999996575843,True,0.3368422731728159,0.33623632151497035,0.0,0.0,1.0,True,0.9010319950787261
2025-02-26,0.040358528549263806,4.069384269756969e-15,0.00403816907633877,0.7386995926499367,0.9999999999999989,0.2115924943001741,0.2635350099944081,0.7386995928827673,0.1587567333126942,0.19999999999169096,True,0.020179264274631903,0.020097776993654816,0.0,0.0,0.9999999999999989,True,0.9011767005797644
2025-03-28,-0.15225758013007587,2.4789796834521146e-08,0.011151417821982316,0.756146214902401,0.9999999939549142,0.20990732926685154,0.2579014531542215,0.7561462173471227,0.16124292417159142,0.19999999998861812,False,0.0,0.0,0.0,0.0,0.9999999939549142,True,0.897541284749966
