date,PIT_ALPHA_TOP1,PIT_ALPHA_TOP2_PRIMARY,PIT_ALPHA_TOP3,PIT_ALPHA_EQUAL_WEIGHT_ALL_ELIGIBLE,BTC_HOLD,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2022-12-07,7075.4720180716,6672.9631148722,6154.6311894200,4456.2900825675,2918.2516738664,4721.7336217364,8933.5029683489
2022-12-08,7104.7809080795,6700.6046830193,6180.1256593449,4474.7494751762,2985.4091229510,4741.2925672050,8970.5084225738
2022-12-09,7097.6872231710,6693.9145431075,6173.9551855908,4470.2817142090,2968.8494195351,4736.5586794235,8961.5519239791
2022-12-10,7097.3033577363,6693.5525149799,6173.6212785142,4470.0399471968,2968.6639591765,4736.3025113086,8961.0672548303
2022-12-11,7091.6540610889,6688.2245950818,6168.7072123917,4466.4818941710,2961.3079427125,4732.5325191651,8953.9344433034
2022-12-12,7107.7259751630,6703.3822113550,6182.6874392065,4476.6043441097,2982.9357404123,4743.2579233298,8974.2268692675
2022-12-13,7180.1185357842,6771.6565096043,6245.6584339816,4522.1987933739,3080.8432102529,4791.5682532379,9065.6298390686
2022-12-14,7184.0954734291,6775.4072075290,6249.1177910966,4524.7035574010,3085.7743758609,4794.2222161313,9070.6511272830
2022-12-15,7118.7749014758,6713.8025872051,6192.2983975031,4483.5632043279,3008.3299433375,4750.6312952719,8988.1772623665
2022-12-16,7011.1607277054,6612.3103602026,6098.6897239589,4415.7853975480,2882.8027462693,4678.8162331574,8852.3034240757
2022-12-17,7024.0154950724,6624.4338465610,6109.8715012265,4423.8816167381,2907.8312283005,4687.3947120379,8868.5338751519
2022-12-18,7020.4962400605,6621.1147946552,6106.8102614104,4421.6651114410,2901.1910541549,4685.0461783046,8864.0904578061
2022-12-19,6985.4368324200,6588.0498438764,6076.3136778333,4399.5839145724,2849.3089521715,4661.6496920502,8819.8243902667
2022-12-20,7039.3121852743,6638.8603398376,6123.1773960660,4433.5158133922,2928.4641265068,4697.6027796047,8887.8475021405
2022-12-21,7031.1124581084,6631.1270781144,6116.0448264746,4428.3514423430,2916.1769444349,4692.1307874394,8877.4945127159
2022-12-22,7030.7365520801,6630.7725565991,6115.7178429236,4428.1146883425,2915.6153635361,4691.8799309414,8877.0198931272
2022-12-23,7025.7551041939,6626.0744929337,6111.3847080527,4424.9772613616,2908.1744166275,4688.5556198694,8870.7303085787
2022-12-24,7032.4534863286,6632.3918180253,6117.2113259095,4429.1960518254,2918.1615435987,4693.0257069613,8879.1876972209
2022-12-25,7031.9884723384,6631.9532577149,6116.8068313966,4428.9031756431,2917.4665005728,4692.7153853055,8878.6005697683
2022-12-26,7042.1115161788,6641.5004226227,6125.6124066561,4435.2788944298,2932.5945193517,4699.4708803924,8891.3819420874
2022-12-27,7017.4956141433,6618.2848681123,6104.2001534472,4419.7752503148,2895.6705752582,4683.0437456410,8860.3018624346
2022-12-28,6998.9478835849,6600.7922794109,6088.0663265172,4408.0934759356,2868.1028462619,4670.6661342589,8836.8834663791
2022-12-29,7006.1613825571,6607.5954174132,6094.3410210741,4412.6366984723,2883.0367383104,4675.4799785566,8845.9912424138
2022-12-30,7003.9180584739,6605.4797113765,6092.3896555207,4411.2238029315,2878.5319581997,4673.9829224279,8843.1588176222
2022-12-31,6998.2936957105,6600.1753069255,6087.4972782494,4407.6814538218,2867.2518085418,4670.2295696207,8836.0574876595
2023-01-01,7004.7392917088,6606.2542263588,6093.1040089473,4411.7410339389,2880.1387035489,4674.5309628366,8844.1957080972
2023-01-02,7009.5871734158,6610.8263221474,6097.3209606758,4414.7943379612,2889.8658393632,4677.7661400787,8850.3166517613
2023-01-03,7009.7861869072,6611.0140141747,6097.4940734572,4414.9196810967,2890.2662257448,4677.8989494080,8850.5679265330
2023-01-04,7024.8768118126,6625.2461647813,6110.6207214708,4424.4240932312,2920.6297263142,4687.9695017057,8869.6213751287
2023-01-05,7022.6593783504,6623.1548765018,6108.6918769905,4423.0275041808,2917.4214354389,4686.4897233806,8866.8216398791
2023-01-06,7038.3014406608,6637.9070943852,6122.2981953134,4432.8792238918,2938.0127350602,4696.9282709907,8886.5713342775
2023-01-07,7037.3616029520,6637.0207220910,6121.4806732511,4432.2872931414,2936.7855767999,4696.3010812714,8885.3846935926
2023-01-08,7061.8282307109,6660.0954942282,6142.7630795585,4447.6969209878,2968.7228905054,4712.6285995775,8916.2762992905
2023-01-09,7071.8813425999,6669.5767054681,6151.5078241953,4454.0285950719,2977.4637931982,4719.3374263934,8928.9693754094
2023-01-10,7113.1288188443,6708.4776984842,6187.3871271068,4480.0071755609,3022.9449129004,4746.8634479644,8981.0485088615
2023-01-11,7208.5547395770,6798.4750368420,6270.3937938734,4540.1085487406,3110.0592831836,4810.5448217523,9101.5334381984
2023-01-12,7423.4274235174,7001.1240602098,6457.3017653779,4675.4401574323,3266.6363574754,4953.9375980311,9372.8320533150
2023-01-13,7761.6758946567,7251.4718573721,6686.1139676528,4904.7157130288,3454.4175704104,5237.7052918906,9758.6438552479
2023-01-14,8069.1267422321,7699.5547324324,7076.4274411863,5133.2665566183,3632.0625947776,5507.0567137269,10196.5170393139
2023-01-15,8033.1358106893,7596.2015857744,6985.3444897445,5091.3670403044,3617.6036199089,5485.1335247546,10161.0413101596
2023-01-16,8064.7451320422,7627.7740519595,7000.9970662391,5098.9653347853,3672.0544345218,5567.6936999601,10251.6227741489
2023-01-17,8088.6356891030,7635.4098098124,6981.0285569805,5056.3212890352,3663.2424675795,5554.3326962758,10210.5222113303
2023-01-18,7831.7199982315,7381.4456714694,6739.6043337466,4847.5431130697,3583.9728971352,5434.1414802055,9872.8234477837
2023-01-19,7981.5007858709,7532.0898472638,6853.9667155476,4955.5819368856,3652.2847069562,5537.7181673040,10109.7697462281
2023-01-20,8575.7158446795,8083.4583016098,7359.9111193524,5303.9323316513,3928.8494334013,5957.0550024509,10774.8546709806
2023-01-21,8525.5312623370,8011.2061428038,7283.1846129518,5248.4149033866,3949.0143475253,5987.6297303942,10680.4350684148
2023-01-22,8495.9249905789,7990.6745330139,7237.9031509499,5281.1664846853,3935.8986603002,5967.7432797885,10664.8634169699
2023-01-23,8541.5725361392,8083.1723804695,7365.2724063792,5349.5403446783,3972.0495640208,6022.5565083182,10710.0732982437
2023-01-24,8379.7654228506,7844.1231909996,7152.3296268716,5162.8983532525,3922.9008357329,5948.0355365491,10412.2627621022
2023-01-25,8556.4479819479,8138.7976247739,7422.1641197350,5337.2853859376,3997.0936455215,6060.5291956187,10603.9810657057
2023-01-26,8481.7572225919,8423.4210246122,7724.3276410019,5498.7364540875,3988.2036812321,6047.0499297066,10580.3966763070
2023-01-27,8466.9602232307,8443.8707315473,7777.5897827131,5538.3235383766,3999.3850342504,6064.0034770645,10610.0599432228
2023-01-28,8477.7028006856,8425.3621365612,7720.1156220311,5498.1514495319,3990.4482715528,6050.4532538158,10586.3514012576
2023-01-29,8821.0406849476,8742.3196996670,7982.3137146717,5703.3253182951,4115.1920286018,6239.5939767042,10917.2869647250
2023-01-30,8486.8336043100,8328.1541597445,7653.4575738400,5422.1974069769,3956.3980963794,5998.8252212863,10496.0189134944
2023-01-31,8647.5145083658,8653.5213874048,8009.5715702789,5614.1955238359,4008.2195337596,6077.3986453925,10633.4971888389
2023-02-01,8995.9076603318,9066.4039766753,8575.5037678458,5852.2462468403,4113.5211521005,6237.0605369812,10912.8542582753
2023-02-02,8882.8232554035,9087.0096265232,8502.5298584734,5807.0118807828,4071.2777889381,6173.0097144407,10800.7858748818
2023-02-03,8907.2548182192,9186.7725931147,8626.8397258092,5887.1120041212,4061.3911918809,6158.0193200632,10927.5059710121
2023-02-04,8839.1500849456,9139.9611614940,8554.7697778248,5868.9061708659,4043.1814112563,6130.4090319616,10892.9608183361
2023-02-05,8683.0830112714,8957.1623706309,8361.4583551576,5924.5475553809,3974.9025336485,6026.8822778037,10715.5421279800
2023-02-06,8619.1329613935,8873.9698635542,8312.1579719950,5816.6261387024,3945.3692715065,5982.1029422848,10622.0602123928
