symbol,spell_number,start,end,duration_days,mean_weight,max_weight,arithmetic_gross_contribution,asset_compound_return_during_spell,positive_contribution
TFUELUSDT,1,2021-06-15,2021-06-16,2,0.2706041774,0.2706041774,-0.0224369173,-0.0839528163,False
THETAUSDT,1,2021-05-01,2021-05-19,19,0.2097647157,0.2405779281,-0.1045284711,-0.4911623857,False
TOMOUSDT,1,2023-06-13,2023-06-13,1,0.2198067548,0.2198067548,-0.0074424102,-0.0338588783,False
TOMOUSDT,2,2023-06-15,2023-06-15,1,0.3414282952,0.3414282952,0.0061414256,0.0179874536,True
TOMOUSDT,3,2023-06-30,2023-07-01,2,0.1740461529,0.1740461529,-0.0049855305,-0.0295019848,False
TRBUSDT,1,2023-10-01,2023-10-01,1,0.1185738540,0.1185738540,0.0011455326,0.0096609206,True
TRBUSDT,2,2025-06-09,2025-06-11,3,0.0660614040,0.0983581821,-0.0085117300,-0.0653409091,False
TRXUSDT,1,2023-05-21,2023-05-26,6,0.3500000000,0.3500000000,0.0139015499,0.0387212347,True
TRXUSDT,2,2023-06-04,2023-06-08,5,0.2808879509,0.2970621461,-0.0155878029,-0.0533202886,False
TRXUSDT,3,2023-07-23,2023-07-24,2,0.3500000000,0.3500000000,-0.0101454743,-0.0288438617,False
TRXUSDT,4,2023-07-26,2023-07-27,2,0.3500000000,0.3500000000,0.0031989269,0.0091575092,True
TRXUSDT,5,2023-10-07,2023-10-07,1,0.3500000000,0.3500000000,0.0035726574,0.0102075926,True
TRXUSDT,6,2023-10-21,2023-10-21,1,0.3500000000,0.3500000000,0.0033171699,0.0094776284,True
TRXUSDT,7,2024-02-05,2024-02-08,4,0.2970663819,0.2970663819,0.0086963281,0.0292155704,True
TRXUSDT,8,2024-07-15,2024-07-18,4,0.3500000000,0.3500000000,-0.0079144561,-0.0226727709,False
TRXUSDT,9,2024-07-20,2024-07-20,1,0.3464789916,0.3464789916,0.0000514598,0.0001485222,True
TRXUSDT,10,2024-08-14,2024-08-14,1,0.3500000000,0.3500000000,0.0046231546,0.0132090132,True
TRXUSDT,11,2024-08-22,2024-09-01,11,0.3412804141,0.3500000000,0.0027267306,0.0110461339,True
TRXUSDT,12,2024-09-03,2024-09-05,3,0.3422977003,0.3500000000,-0.0094329938,-0.0285343709,False
TRXUSDT,13,2024-09-10,2024-09-12,3,0.3087065469,0.3087065469,-0.0052077007,-0.0168175938,False
TRXUSDT,14,2024-09-19,2024-09-21,3,0.3120694125,0.3308286836,0.0045787867,0.0160427807,True
TRXUSDT,15,2024-10-03,2024-10-05,3,0.3500000000,0.3500000000,-0.0018919799,-0.0058290155,False
TRXUSDT,16,2024-10-12,2024-10-18,7,0.3500000000,0.3500000000,-0.0027400208,-0.0081351690,False
TRXUSDT,17,2025-04-22,2025-04-23,2,0.1050332470,0.1050332470,-0.0000354311,-0.0004060089,False
TRXUSDT,18,2025-05-14,2025-05-18,5,0.3500000000,0.3500000000,-0.0038377870,-0.0110741971,False
TRXUSDT,19,2025-06-05,2025-06-09,5,0.3500000000,0.3500000000,0.0161815834,0.0459183673,True
TRXUSDT,20,2025-06-22,2025-06-24,3,0.3478421681,0.3500000000,0.0039194625,0.0103321033,True
TRXUSDT,21,2025-07-03,2025-07-10,8,0.3484332143,0.3500000000,0.0115204401,0.0334036568,True
TRXUSDT,22,2025-07-27,2025-09-25,61,0.3229702940,0.3500000000,0.0223960108,0.0368634802,True
TRXUSDT,23,2025-09-29,2025-10-03,5,0.2133529002,0.2316438351,0.0043285404,0.0184688710,True
TRXUSDT,24,2026-05-07,2026-05-07,1,0.3500000000,0.3500000000,0.0027288478,0.0077967081,True
TRXUSDT,25,2026-05-11,2026-05-11,1,0.3500000000,0.3500000000,0.0004991443,0.0014261266,True
XLMUSDT,1,2023-07-29,2023-07-29,1,0.2007931065,0.2007931065,-0.0018847914,-0.0093867334,False
XMRUSDT,1,2023-01-13,2023-01-13,1,0.2903714651,0.2903714651,0.0069717038,0.0240096038,True
XRPUSDT,1,2023-04-09,2023-04-10,2,0.2500348968,0.2500348968,0.0063328551,0.0253565769,True
XRPUSDT,2,2023-06-09,2023-06-15,7,0.2703587579,0.3500000000,-0.0257696179,-0.0830786860,False
XRPUSDT,3,2023-06-17,2023-06-20,4,0.2935595568,0.3500000000,0.0097967690,0.0357217903,True
XRPUSDT,4,2023-08-04,2023-08-05,2,0.1440662499,0.1440662499,-0.0074951695,-0.0515837104,False
XRPUSDT,5,2025-02-07,2025-03-09,31,0.2698206433,0.3500000000,-0.0191354557,-0.0801290323,False
XRPUSDT,6,2025-04-24,2025-05-01,8,0.2234451740,0.2792920461,-0.0011572217,-0.0027497295,False
XRPUSDT,7,2025-07-11,2025-09-15,67,0.1515188766,0.3125446638,0.0428741311,0.1765929881,True
YGGUSDT,1,2023-08-06,2023-08-10,5,0.2138599924,0.2985480022,-0.0584542241,-0.2860875245,False
ZECUSDT,1,2022-03-20,2022-03-20,1,0.2274600663,0.2274600663,-0.0077126537,-0.0339077265,False
ZECUSDT,2,2025-10-26,2025-11-03,9,0.1679486063,0.1848312604,0.0800388862,0.5713457917,True
ZECUSDT,3,2026-05-07,2026-05-07,1,0.0676646676,0.0676646676,0.0024978693,0.0369154157,True
ZECUSDT,4,2026-05-11,2026-05-11,1,0.0975689060,0.0975689060,-0.0059153618,-0.0606275304,False
