date,symbol,selected
2023-12-18,LINKUSDT,True
2023-12-18,SOLUSDT,True
2023-12-19,LINKUSDT,True
2023-12-19,SOLUSDT,True
2023-12-20,LINKUSDT,True
2023-12-20,SOLUSDT,True
2023-12-21,LINKUSDT,True
2023-12-21,SOLUSDT,True
2023-12-22,LINKUSDT,True
2023-12-22,SOLUSDT,True
2023-12-23,LINKUSDT,True
2023-12-23,SOLUSDT,True
2023-12-24,LINKUSDT,True
2023-12-24,SOLUSDT,True
2023-12-25,LINKUSDT,True
2023-12-25,SOLUSDT,True
2023-12-26,LINKUSDT,True
2023-12-26,SOLUSDT,True
2023-12-27,LINKUSDT,True
2023-12-27,SOLUSDT,True
2023-12-28,LINKUSDT,True
2023-12-28,SOLUSDT,True
2023-12-29,LINKUSDT,True
2023-12-29,SOLUSDT,True
2023-12-30,LINKUSDT,True
2023-12-30,SOLUSDT,True
2023-12-31,LINKUSDT,True
2023-12-31,SOLUSDT,True
2024-01-01,LINKUSDT,True
2024-01-01,SOLUSDT,True
2024-01-02,LINKUSDT,True
2024-01-02,SOLUSDT,True
2024-01-03,LINKUSDT,True
2024-01-03,SOLUSDT,True
2024-01-04,LINKUSDT,True
2024-01-04,SOLUSDT,True
2024-01-05,LINKUSDT,True
2024-01-05,SOLUSDT,True
2024-01-06,LINKUSDT,True
2024-01-06,SOLUSDT,True
2024-01-07,SCUSDT,True
2024-01-07,SOLUSDT,True
2024-01-08,SCUSDT,True
2024-01-08,SOLUSDT,True
2024-01-09,MKRUSDT,True
2024-01-09,SOLUSDT,True
2024-01-10,MKRUSDT,True
2024-01-10,SOLUSDT,True
2024-01-11,MKRUSDT,True
2024-01-11,SOLUSDT,True
2024-01-12,MKRUSDT,True
2024-01-12,SOLUSDT,True
2024-01-13,ETHUSDT,True
2024-01-13,SOLUSDT,True
2024-01-14,ETHUSDT,True
2024-01-14,SOLUSDT,True
2024-01-15,ETHUSDT,True
2024-01-15,SOLUSDT,True
2024-01-16,ETHUSDT,True
2024-01-16,SOLUSDT,True
2024-01-17,ETHUSDT,True
2024-01-17,SOLUSDT,True
2024-01-18,ETHUSDT,True
2024-01-18,SOLUSDT,True
2024-01-19,ETHUSDT,True
