date,PIT_ALPHA_0018_ELIGIBILITY_EXIT,PIT_ALPHA_0016_DAILY_TOP2,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2024-11-20,27897.0491168875,11615.9556052718,20798.9715848982,56444.9625071365
2024-11-21,28857.6521233855,12306.4430107621,21688.0856103885,60155.1011080725
2024-11-22,29277.5740551463,12820.6628766121,21814.9002145561,60393.1506625226
2024-11-23,29110.2801722831,12612.2382178018,21545.8647789124,59784.4872991718
2024-11-24,29054.1905213066,12497.9807866583,21596.0806091600,59600.8414418735
2024-11-25,27270.1161885208,11939.7717962483,20517.3733679657,55925.0280270321
2024-11-26,27704.4445101705,12096.6315145107,20286.8865895693,55268.8184508578
2024-11-27,28398.6591657266,12608.1114702523,21146.7477541865,57611.3913434676
2024-11-28,28400.0937458977,12781.9815955443,21098.4091718541,57479.6995572832
2024-11-29,29175.0645097670,13457.2899556733,21499.0107886445,58571.0832908963
2024-11-30,28918.9601526090,13674.1638904918,21266.9445631186,57938.8509357469
2024-12-01,29342.3898341581,14366.8991516879,21438.3873724232,58405.9231727965
2024-12-02,28695.9465455163,15180.8492527205,21141.7866136916,56606.2739677597
2024-12-03,29087.6337628827,18534.9003824698,21143.7873937845,56583.3278381167
2024-12-04,29905.9109348031,18746.7460077345,21747.6898861436,56786.1822423058
2024-12-05,30747.9439466625,18988.3258079357,21385.5442774671,55812.1776108225
2024-12-06,31305.2097386790,19017.3839828182,22002.1485248150,57421.3966852620
2024-12-07,31710.2370965069,19076.5153921921,22022.2555926724,57473.8722841025
2024-12-08,32084.9903760849,19175.2914089034,22304.0854324382,58209.3942268202
2024-12-09,29837.8410508630,17990.0529558542,21458.5253233250,56002.6441727580
2024-12-10,29135.4328668963,18050.4783722420,21307.7565063364,55609.1664158785
2024-12-11,31533.6033418504,19708.7839267681,22307.4847732575,58218.2658557630
2024-12-12,31622.2287139442,19759.5147861674,22060.2637966421,57573.0664221193
2024-12-13,32135.0282203846,20079.9434795877,22373.4972807324,58390.5458662187
2024-12-14,31428.5959012004,19638.5210870481,22372.5597597407,58388.0991158614
2024-12-15,32613.3131078611,20378.8053147728,23044.0431770455,60140.5423206305
2024-12-16,32514.6066521190,20317.1274460379,23395.8164946561,61058.6033541258
2024-12-17,32380.2424945612,20233.1684505473,23412.3786301990,61101.8273580858
2024-12-18,30195.3420776511,18867.9081937584,22104.3206654571,57688.0464177358
2024-12-19,28377.0212656246,18413.8381354481,21499.4210919492,56109.3743018754
2024-12-20,29483.2528988670,18815.5689607721,21575.2124948505,56307.1753578232
2024-12-21,29063.3753765910,18348.9834388120,21461.9489293936,56011.5791293571
2024-12-22,28523.6585466992,18133.2714909580,20997.4414699449,54799.3035617151
2024-12-23,29446.5306048177,19387.3651397291,20930.2046703515,54623.8283831456
2024-12-24,30082.8875376596,19816.5184100292,21764.5123216324,56801.2116758600
2024-12-25,29948.6757952037,19903.4197565451,21933.4911051776,57242.2139602687
