event_id,event_class,terminal_label,anchor_date,profile,bucket,state,first_occurrence_date,offset_days
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,immediate_after,EXHAUSTION_WATCH,2021-07-31,11
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,immediate_after,DE_RISK_1,2021-07-25,5
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,medium_after,LATE_BULL_ROTATION,2021-10-17,89
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,medium_after,EXHAUSTION_WATCH,2021-08-18,29
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,medium_after,DE_RISK_1,2021-09-09,51
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,EARLY,medium_after,DE_RISK_2,2021-09-21,63
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,early_warning,NORMAL_BULL,2021-06-22,-28
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,target_lead,NORMAL_BULL,2021-07-06,-14
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,near_event,NORMAL_BULL,2021-07-14,-6
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,immediate_after,NORMAL_BULL,2021-07-21,1
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,immediate_after,LATE_BULL_ROTATION,2021-08-05,16
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,immediate_after,EXHAUSTION_WATCH,2021-07-26,6
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,medium_after,BTC_LEADERSHIP_MATURING,2021-10-10,82
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,medium_after,LATE_BULL_ROTATION,2021-08-18,29
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,medium_after,EXHAUSTION_WATCH,2021-08-26,37
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,BALANCED,medium_after,DE_RISK_1,2021-09-11,53
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,early_warning,NORMAL_BULL,2021-06-27,-23
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,early_warning,BTC_LEADERSHIP_MATURING,2021-06-22,-28
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,target_lead,NORMAL_BULL,2021-07-06,-14
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,near_event,NORMAL_BULL,2021-07-14,-6
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,immediate_after,NORMAL_BULL,2021-07-21,1
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,immediate_after,LATE_BULL_ROTATION,2021-08-06,17
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,immediate_after,EXHAUSTION_WATCH,2021-07-27,7
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,medium_after,BTC_LEADERSHIP_MATURING,2021-09-28,70
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,medium_after,LATE_BULL_ROTATION,2021-08-18,29
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,CONSERVATIVE,medium_after,EXHAUSTION_WATCH,2021-08-26,37
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,early_warning,LATE_BULL_ROTATION,2021-10-17,-22
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,early_warning,EXHAUSTION_WATCH,2021-10-11,-28
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,target_lead,EXHAUSTION_WATCH,2021-10-25,-14
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,near_event,LATE_BULL_ROTATION,2021-11-07,-1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,near_event,EXHAUSTION_WATCH,2021-11-02,-6
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,immediate_after,LATE_BULL_ROTATION,2021-11-09,1
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,immediate_after,DE_RISK_1,2021-11-24,16
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,immediate_after,DE_RISK_2,2021-11-27,19
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,medium_after,BTC_LEADERSHIP_MATURING,2021-12-23,45
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,medium_after,LATE_BULL_ROTATION,2021-12-18,40
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,medium_after,EXHAUSTION_WATCH,2021-12-07,29
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,medium_after,DE_RISK_1,2021-12-25,47
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,EARLY,medium_after,DE_RISK_2,2022-01-06,59
