date,profile,market_state,raw_candidate_state,ordinary_inputs_complete,minimum_calibration_depth,mature_texture,rotation,exhaustion,strong_exhaustion,damage,strong_damage,divergence_subchannel,momentum_failure_subchannel,breadth_transition_subchannel
2023-06-14,EARLY,LATE_BULL_ROTATION,DE_RISK_1,True,365,False,False,True,False,True,False,False,True,True
2023-06-14,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-14,BALANCED,LATE_BULL_ROTATION,DE_RISK_1,True,365,False,False,True,False,True,False,False,True,True
2023-06-15,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-15,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-06-15,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,True,False,False,False,True
2023-06-16,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-06-16,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-16,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-17,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,True,False
2023-06-17,EARLY,LATE_BULL_ROTATION,EXHAUSTION_WATCH,True,365,False,False,True,False,False,False,False,True,True
2023-06-17,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-06-18,BALANCED,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,True,False
2023-06-18,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,True,False
2023-06-18,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,False
2023-06-19,BALANCED,BTC_LEADERSHIP_MATURING,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-19,EARLY,LATE_BULL_ROTATION,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-19,CONSERVATIVE,NORMAL_BULL,NORMAL_BULL,True,365,False,False,False,False,False,False,False,False,True
2023-06-20,EARLY,LATE_BULL_ROTATION,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-20,CONSERVATIVE,NORMAL_BULL,EXHAUSTION_WATCH,True,365,False,False,True,False,False,False,False,True,True
2023-06-20,BALANCED,BTC_LEADERSHIP_MATURING,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
2023-06-21,CONSERVATIVE,NORMAL_BULL,EXHAUSTION_WATCH,True,365,True,False,True,False,False,False,False,True,True
