date,comp_20,weighted_20,comp_60,weighted_60,comp_120,weighted_120,comp_240,weighted_240,aggregate_from_components,short_weighted,long_weighted,long_minus_short,mask20,mask20_60,existing_btc_trend,btc_drawdown_252,btc_fwd_1d,btc_fwd_5d,btc_fwd_10d
2026-03-11,0.32957034027741733,0.049435551041612597,-0.7273111171085913,-0.18182777927714783,-0.8404459294292832,-0.25213377882878496,-0.893060825677348,-0.2679182477032044,-0.6524442547675245,-0.13239222823553523,-0.5200520265319893,-0.38765979829645414,False,False,-0.6524442547675245,-0.43692698470558056,0.0049789249066771735,0.06685689765166503,-0.018146548616891023
2026-03-12,0.26296481025652707,0.03944472153847906,-0.7284414998934788,-0.1821103749733697,-0.8221677172784522,-0.24665031518353564,-0.8803513005828671,-0.2641053901748601,-0.6534213587932864,-0.14266565343489065,-0.5107557053583958,-0.3680900519235051,False,False,-0.6534213587932864,-0.4341234864454533,0.005509677020595349,0.04774533628082489,-0.03802507862765292
2026-03-13,0.30469735337655734,0.0457046030064836,-0.7242139040158243,-0.18105347600395608,-0.7950567005343566,-0.23851701016030696,-0.8815229035885839,-0.2644568710765752,-0.6383227542343546,-0.13534887299747247,-0.5029738812368821,-0.3676250082394097,False,False,-0.6383227542343546,-0.4310056896222272,0.0039750458198222205,0.00446270971380236,-0.0003320174820246047
2026-03-14,0.3634559446593877,0.05451839169890815,-0.7928088028351967,-0.19820220070879918,-0.7242948080351871,-0.21728844241055612,-0.8819115191901729,-0.2645734557570518,-0.625545707177499,-0.14368380900989103,-0.48186189816760794,-0.3381780891577169,False,False,-0.625545707177499,-0.4287439111672574,0.022514339236602954,-0.018001894344980007,-0.009200843397772274
2026-03-15,0.7351339034585239,0.11027008551877858,-0.7832074954049324,-0.1958018738512331,-0.7047865188185324,-0.2114359556455597,-0.8600679469183282,-0.25802038407549843,-0.5549881280535127,-0.08553178833245452,-0.46945633972105816,-0.38392455138860365,False,False,-0.5549881280535127,-0.41588245779230204,0.028420286742171008,-0.031648731776479866,-0.020307699322284822
2026-03-16,0.8418213720600836,0.12627320580901252,-0.7129202771039551,-0.17823006927598878,-0.6280888293420437,-0.1884266488026131,-0.837445048931692,-0.2512335146795076,-0.4916170269490969,-0.051956863466976255,-0.43966016348212067,-0.3877033000151444,False,False,-0.4916170269490969,-0.39928166975162716,-0.013024161019872249,-0.07967652124259883,-0.080982663073764
2026-03-17,0.6152509408885148,0.09228764113327723,-0.7345517719766016,-0.1836379429941504,-0.6112541252855835,-0.18337623758567506,-0.8437423927254191,-0.2531227178176257,-0.527849257264174,-0.09135030186087317,-0.43649895540330075,-0.3451486535424276,False,False,-0.527849257264174,-0.4071055220123707,-0.03602818371042593,-0.08186189137613964,-0.10150378788288794
2026-03-18,0.4145024896578751,0.062175373448681265,-0.781746175562475,-0.19543654389061876,-0.690980592101891,-0.2072941776305673,-0.869019123976958,-0.2607057371930874,-0.6012610852655922,-0.1332611704419375,-0.46799991482365466,-0.33473874438171713,False,False,-0.6012610852655922,-0.42846643318620614,-0.018478651735228002,-0.004773424786663316,-0.06834731904173863
2026-03-19,0.45478125587818646,0.06821718838172797,-0.7857859662150782,-0.19644649155376956,-0.6964056952529463,-0.20892170857588388,-0.893289402128138,-0.26798682063844137,-0.6051378323863669,-0.1282293031720416,-0.47690852921432525,-0.34867922604228363,False,False,-0.6051378323863669,-0.4390276029223509,0.008304447304447349,0.008962390962391042,-0.056042757042757185
2026-03-20,0.40107847580242156,0.06016177137036323,-0.7568943101024055,-0.18922357752560137,-0.5830212337416302,-0.17490637012248905,-0.8829373393972341,-0.2648812018191702,-0.5688493780968974,-0.12906180615523816,-0.43978757194165924,-0.3107257657864211,False,False,-0.5688493780968974,-0.43436903721157005,-0.022586775090826627,0.011711692674292395,-0.05266375770042375
